policy,budget_pct,n_targeted,incremental_outcome_rate,standard_error_rate,ci_lower_rate,ci_upper_rate,incremental_outcome,ci_lower,ci_upper
undersampled_cvt_lr_k25,30.0,480000,0.0006944113023350578,9.112057496410085e-05,0.0005158182571548381,0.0008730043475152775,1111.0580837360926,825.3092114477411,1396.8069560244442
undersampled_t_lr_k50,5.0,80000,0.000679536587342094,8.144066805189753e-05,0.000519915811083493,0.000839157363600695,1087.2585397473504,831.8652977335888,1342.651781761112
undersampled_t_lr_k50,10.0,160000,0.0007665972711049264,8.688881998192863e-05,0.0005962983132811622,0.0009368962289286907,1226.5556337678822,954.0773012498595,1499.033966285905
undersampled_t_lr_k50,20.0,320000,0.0008131915491400292,9.20704107682879e-05,0.0006327368599923762,0.0009936462382876823,1301.1064786240468,1012.3789759878019,1589.8339812602917
undersampled_t_lr_k50,30.0,480000,0.0008176393413956382,9.384056151692624e-05,0.0006337152205334474,0.001001563462257829,1308.222946233021,1013.9443528535159,1602.5015396125264
undersampled_cvt_lr_k50,5.0,80000,0.000535145636662362,6.67272918472691e-05,0.0004043625478558215,0.0006659287254689026,856.2330186597793,646.9800765693144,1065.4859607502442
undersampled_cvt_lr_k50,10.0,160000,0.0007487515829890009,8.397172854225884e-05,0.0005841700193265995,0.0009133331466514023,1198.0025327824014,934.6720309225592,1461.3330346422438
undersampled_cvt_lr_k50,20.0,320000,0.000907456441753211,9.362783002953401e-05,0.0007239492669446866,0.0010909636165617354,1451.9303068051377,1158.3188271114986,1745.5417864987767
undersampled_cvt_lr_k50,30.0,480000,0.0008968983142999452,9.703363719421019e-05,0.000706715880110367,0.0010870807484895232,1435.0373028799122,1130.7454081765873,1739.3291975832371
undersampled_t_lr_k100,5.0,80000,0.0005637013734132343,7.99322862062828e-05,0.0004070369712469722,0.0007203657755794963,901.9221974611748,651.2591539951555,1152.585240927194
undersampled_t_lr_k100,10.0,160000,0.000620065929379827,8.577408644899614e-05,0.0004519518091329695,0.0007881800496266846,992.1054870077232,723.1228946127512,1261.0880794026953
undersampled_t_lr_k100,20.0,320000,0.0006971182894727721,9.019723245208462e-05,0.0005203349623614989,0.0008739016165840453,1115.3892631564354,832.5359397783982,1398.2425865344724
undersampled_t_lr_k100,30.0,480000,0.0007244847617567618,9.177897728056839e-05,0.0005446012717489279,0.0009043682517645957,1159.1756188108188,871.3620347982845,1446.9892028233533
undersampled_cvt_lr_k100,5.0,80000,0.0005079813215862233,6.060198001178728e-05,0.000389203623371304,0.0006267590198011426,812.7701145379573,622.7257973940864,1002.8144316818281
undersampled_cvt_lr_k100,10.0,160000,0.0006959670775107276,7.606607769458263e-05,0.0005468803047841201,0.0008450538502373351,1113.547324017164,875.008487654592,1352.0861603797362
undersampled_cvt_lr_k100,20.0,320000,0.0008013713501039185,8.720722483365505e-05,0.0006304483302382675,0.0009722943699695694,1282.1941601662695,1008.7173283812281,1555.670991951311
undersampled_cvt_lr_k100,30.0,480000,0.0008576937068835471,8.982077499360197e-05,0.0006816482228326114,0.0010337391909344827,1372.3099310136754,1090.6371565321783,1653.9827054951725
undersampled_t_lr_k200,5.0,80000,0.00042406392324781963,6.809802705521581e-05,0.0002905942428013625,0.0005575336036942768,678.5022771965114,464.95078848218,892.0537659108428
undersampled_t_lr_k200,10.0,160000,0.0004705619215694317,7.285025168730866e-05,0.00032777805199762846,0.0006133457911412349,752.8990745110907,524.4448831962055,981.3532658259759
undersampled_t_lr_k200,20.0,320000,0.00048330585946139627,7.610302274007949e-05,0.0003341466757762078,0.0006324650431465847,773.289375138234,534.6346812419324,1011.9440690345356
undersampled_t_lr_k200,30.0,480000,0.0005186271821982612,7.711519380471636e-05,0.0003674841796801908,0.0006697701847163315,829.8034915172178,587.9746874883053,1071.6322955461303
undersampled_cvt_lr_k200,5.0,80000,0.000298947425707741,4.4904142518712234e-05,0.00021093692361441135,0.0003869579278010707,478.31588113238564,337.49907778305817,619.1326844817131
undersampled_cvt_lr_k200,10.0,160000,0.0004656079022231245,5.756791845164675e-05,0.00035277685539295803,0.0005784389490532909,744.9726435569992,564.4429686287328,925.5023184852655
undersampled_cvt_lr_k200,20.0,320000,0.0006213453490351624,6.775899168388448e-05,0.0004885401657059998,0.0007541505323643249,994.1525584562597,781.6642651295997,1206.6408517829198
undersampled_cvt_lr_k200,30.0,480000,0.0006632662219687521,7.224000508441245e-05,0.0005216784137603134,0.0008048540301771909,1061.2259551500033,834.6854620165013,1287.7664482835053
